,M1,M2,M3,M4,M5,M6,M7,A1,A2,A3,A4,A5,A6,A7,
M1,242,1974,14044,62046,1700533,5765029,58327336,242,1974,6302,21048,160378,321719,1260492, 
M2,220,2136,11344,80017,3504434,12053639,197201612,220,2136,6218,24267,290952,534945,3544735, 
M3,197,2045,17490,134219,1455117,9753651,82942979,197,2045,9499,42880,166534,433538,944924, 
M4,239,1878,10581,57779,1878507,13066485,37478574,239,1878,5957,21216,162201,601494,1107822, 
M5,227,1625,17569,28432,1132256,7755455,26852619,227,1625,8971,12060,115887,442767,503047, 
M6,219,1588,15526,76049,1263944,13913527,42603943,219,1588,8820,24330,130162,574424,593527, 
M7,277,1018,16397,97262,1775418,2816857,78639083,277,1018,8243,30158,174720,184263,1018839, 
A1,242,1974,14044,62046,1700533,5765029,58327336,242,1974,6302,21048,160378,321719,1260492, 
A2,220,2136,11344,80017,3504434,12053639,197201612,220,2136,6218,24267,290952,534945,3544735, 
A3,197,2045,17490,134219,1455117,9753651,82942979,197,2045,9499,42880,166534,433538,944924, 
A4,239,1878,10581,57779,1878507,13066485,37478574,239,1878,5957,21216,162201,601494,1107822, 
A5,227,1625,17569,28432,1132256,7755455,26852619,227,1625,8971,12060,115887,442767,503047, 
A6,219,1588,15526,76049,1263944,13913527,42603943,219,1588,8820,24330,130162,574424,593527, 
A7,277,1018,16397,97262,1775418,2816857,78639083,277,1018,8243,30158,174720,184263,1018839, 
