,M1,M2,M3,M4,M5,M6,M7,A1,A2,A3,A4,A5,A6,A7,
M1,FALSE, false, true, false, false, false, false, false, false, true, false, false, false, false, 
M2,TRUE, false, false, true, false, false, false, true, false, false, true, false, false, false, 
M3,TRUE, true, false, true, false, false, true, true, true, false, true, false, false, true, 
M4,TRUE, true, true, false, true, true, false, true, true, true, false, true, true, false, 
M5,TRUE, true, false, false, false, false, true, true, true, false, false, false, false, true, 
M6,TRUE, true, false, false, true, false, true, true, true, false, false, true, false, true, 
M7,FALSE, true, false, true, true, true, true, false, true, false, true, true, true, true, 
A1,FALSE, false, true, false, false, false, false, false, false, true, false, false, false, false, 
A2,TRUE, false, false, true, false, false, false, true, false, false, true, false, false, false, 
A3,TRUE, true, false, true, false, false, true, true, true, false, true, false, false, true, 
A4,TRUE, true, true, false, true, true, false, true, true, true, false, true, true, false, 
A5,TRUE, true, false, false, false, false, true, true, true, false, false, false, false, true, 
A6,TRUE, true, false, false, true, false, true, true, true, false, false, true, false, true, 
A7,FALSE, true, false, true, true, true, true, false, true, false, true, true, true, true, 
